algorithm,getdata,sql,prep,splitsort1,algo1,combine,amm,qsl,splitsort2,algo2,json,total
threshold,0.0010180473327636719,21.8964581489563,8.039842128753662,0.09812283515930176,0.024953842163085938,4.0531158447265625e-06,0.000141143798828125,1.4781951904296875e-05,0.0009043216705322266,0.0032100677490234375,0.00019288063049316406,30.06486225128174
threshold,0.00032806396484375,32.32978677749634,7.9413838386535645,0.09927129745483398,0.025918006896972656,4.0531158447265625e-06,0.00013375282287597656,1.5974044799804688e-05,0.0013802051544189453,0.0031478404998779297,0.0003070831298828125,40.40167689323425
threshold,0.00028705596923828125,30.053502798080444,7.7873430252075195,0.09285688400268555,0.026115894317626953,3.0994415283203125e-06,0.00013494491577148438,1.621246337890625e-05,0.000888824462890625,0.003181934356689453,0.0001819133758544922,37.96451258659363
threshold,0.0008561611175537109,27.963364124298096,7.806511163711548,0.10375499725341797,0.026626110076904297,5.9604644775390625e-06,0.00014495849609375,1.5020370483398438e-05,0.0009469985961914062,0.003108978271484375,0.00025773048400878906,35.90559220314026
threshold,0.0008969306945800781,42.2464382648468,8.072021961212158,0.09837698936462402,0.02529287338256836,3.814697265625e-06,0.0001361370086669922,1.5974044799804688e-05,0.0008649826049804688,0.0031270980834960938,0.00017976760864257812,50.447354793548584
threshold,0.0005357265472412109,36.828715085983276,7.872899055480957,0.11572504043579102,0.025738000869750977,3.814697265625e-06,0.00015020370483398438,1.5020370483398438e-05,0.0009317398071289062,0.003156900405883789,0.0001971721649169922,44.84806776046753
threshold,0.0003371238708496094,34.960599184036255,8.368833065032959,0.09779691696166992,0.025465011596679688,2.86102294921875e-06,0.00016307830810546875,1.6927719116210938e-05,0.000993967056274414,0.0032079219818115234,0.0001881122589111328,43.45760416984558
threshold,0.0018558502197265625,21.547389030456543,7.951231002807617,0.10345721244812012,0.025507211685180664,3.814697265625e-06,0.00013518333435058594,1.4781951904296875e-05,0.0008959770202636719,0.0031387805938720703,0.0001881122589111328,29.633816957473755
threshold,0.0004248619079589844,27.09743905067444,7.958968162536621,0.12071514129638672,0.025485992431640625,3.0994415283203125e-06,0.00014781951904296875,1.6927719116210938e-05,0.0009100437164306641,0.0031790733337402344,0.00018477439880371094,35.20747494697571
fagins,0.0003509521484375,58.24747085571289,8.285404920578003,0.10930609703063965,0.025977134704589844,1.0013580322265625e-05,0.0001709461212158203,1.6927719116210938e-05,0.001990795135498047,0.0017218589782714844,0.00021314620971679688,66.6726336479187
fagins,0.00019884109497070312,57.73152732849121,7.926597833633423,0.0903160572052002,0.02511286735534668,8.106231689453125e-06,0.00013494491577148438,1.5974044799804688e-05,0.0008511543273925781,0.0016341209411621094,0.0001900196075439453,65.77658724784851
